,bikeid,mean_tripduration
609,15309,700.9481865284974
5549,21462,701.0735294117648
11373,31130,701.0744680851063
948,15731,701.1927710843373
5826,24842,701.2608695652174
5977,25000,701.2920110192838
11376,31134,701.2925170068028
10643,30352,701.3765690376569
12885,32906,701.5347593582887
11255,31002,701.6242424242424
5282,21165,701.8071428571428
11931,31856,701.8187134502924
6435,25479,701.9809523809524
2253,17340,702.059405940594
4456,20024,702.1160714285714
3128,18387,702.1238095238095
12430,32428,702.2058823529412
11193,30935,702.2165898617511
1900,16909,702.475
12726,32735,702.6223404255319
2136,17201,702.6335403726708
10838,30564,702.6402877697842
571,15259,702.7016129032259
11369,31126,702.7422680412371
11426,31188,702.7881355932203
12550,32553,702.9107142857143
11305,31061,702.9810126582279
9847,29141,703.0062111801242
10238,29912,703.0903225806452
13027,33052,703.3658536585366
7535,26769,703.36875
6330,25366,703.5
10619,30322,703.5384615384615
6961,26016,703.5637254901961
10221,29892,703.6574585635359
7623,26858,703.7549019607843
285,14895,703.8028846153846
12989,33014,703.9090909090909
7208,26416,703.9432989690722
9331,28612,703.9675675675676
13007,33032,704.0544217687075
6915,25969,704.0588235294117
2094,17145,704.3478260869565
12059,32047,704.3790322580645
10422,30107,704.6981132075472
11199,30941,704.8251366120219
4117,19595,704.8421052631579
13281,33313,704.9814814814815
4271,19789,705.0697674418604
11493,31256,705.1605839416059
11288,31040,705.2727272727273
9981,29379,705.3061224489796
6933,25988,705.3321799307959
11087,30820,705.3453608247422
8884,28160,705.3813559322034
9704,28986,705.4064748201439
2977,18209,705.4605263157895
11051,30784,705.4646464646464
2152,17223,705.6
7773,27010,705.680412371134
11403,31165,705.7300613496933
3889,19324,705.7926829268292
2333,17435,706.0133333333333
11919,31834,706.1153846153846
13008,33033,706.1741293532339
12505,32506,706.4065934065934
12619,32625,706.4171779141104
10091,29721,706.438202247191
5081,20930,706.5274725274726
5893,24911,706.7087628865979
11191,30933,706.7602739726027
13044,33070,706.7736842105263
12169,32161,706.8407960199005
2578,17728,706.8869047619048
2950,18179,707.005
12564,32567,707.0422535211268
4704,20326,707.1206896551724
5605,21533,707.1311475409836
12189,32182,707.1375
2491,17626,707.1720430107526
6011,25035,707.1848739495798
11181,30922,707.2068965517242
1509,16443,707.3083333333333
4747,20371,707.3251028806584
11273,31023,707.4485294117648
12545,32548,707.4715909090909
10507,30201,707.5323383084577
10096,29726,707.5827814569536
12342,32340,707.5853658536586
10925,30655,707.6100628930818
8575,27851,707.8109243697479
5504,21410,707.8284313725491
13002,33027,707.875
4800,20557,707.8816568047338
7435,26667,707.8995215311005
12344,32342,707.9205020920502
3510,18851,707.9583333333334
12036,32024,707.9941860465116
2800,17996,708.0309278350516
12963,32987,708.1904761904761
6552,25598,708.21
1436,16351,708.3529411764706
2523,17664,708.3585858585859
3900,19336,708.4466019417475
3851,19279,708.512987012987
8695,27971,708.5563909774436
10446,30132,708.5584415584416
7466,26698,708.5869565217391
11781,31562,708.609756097561
7641,26876,708.7162162162163
10663,30372,708.794701986755
10171,29819,708.8840579710145
4048,19514,708.8939393939394
4869,20647,708.9315789473684
2475,17607,709.0272108843537
11040,30773,709.1224489795918
1841,16842,709.125
154,14716,709.1935483870968
8253,27529,709.2167487684729
4612,20208,709.2385321100918
11487,31250,709.2938388625593
12587,32592,709.38
12825,32844,709.4652777777778
11137,30873,709.5185185185185
10755,30475,709.5625
11907,31801,709.5875
12363,32361,709.6542553191489
12121,32111,709.72
12210,32203,709.7222222222222
6626,25672,709.7290502793296
10879,30606,709.7291666666666
10783,30505,709.7754010695187
4046,19512,709.7790697674419
1747,16731,709.8108108108108
4685,20306,709.8615384615384
10616,30319,709.8636363636364
6020,25044,709.8872549019608
12171,32163,709.9431279620853
10164,29812,709.9516129032259
10724,30440,710.0490196078431
12333,32331,710.1183673469387
10966,30697,710.1277777777777
10876,30603,710.2111801242236
2211,17289,710.2941176470588
8671,27947,710.3636363636364
127,14680,710.4159292035398
11030,30763,710.516129032258
12129,32119,710.52
11267,31016,710.5355450236967
10189,29858,710.6105263157895
12486,32486,710.6384615384616
11887,31771,710.6844660194175
10095,29725,710.7790697674419
537,15211,710.872
5891,24909,711.0306513409962
4980,20802,711.1320754716982
13238,33269,711.2
1287,16167,711.2063492063492
12614,32619,711.258064516129
12266,32262,711.2758620689655
10731,30449,711.3846153846154
6820,25868,711.423645320197
4166,19658,711.5049504950495
10202,29871,711.5720930232558
8127,27400,711.662962962963
10558,30255,711.7088607594936
10125,29760,711.7303370786517
12101,32090,711.8613138686131
11744,31522,711.8623853211009
11009,30741,711.8636363636364
11799,31586,711.8660714285714
11229,30975,711.876404494382
9392,28674,711.8798798798799
10541,30236,712.0245901639345
12330,32328,712.15
